,contrast,xs_std,ys_std,xs_std_err,ys_std_err,xs_std_ci_lower,xs_std_ci_upper,ys_std_ci_lower,ys_std_ci_upper
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.05263157894736842,0.009840554012829163,0.009840554012829163,0.00011886544312027116,0.00011685990655052366,0.009607844152937825,0.01007425782341125,0.009613848935007732,0.01007019370119994
2,0.10526315789473684,0.021785483816035962,0.021785483816035962,0.00026922179744863283,0.0002705821998293383,0.021253293326913534,0.02231149450927888,0.02126149295441612,0.022316469662454187
3,0.15789473684210525,0.032208148150269685,0.032208148150269685,0.00045279260668417966,0.00044496967839404225,0.031330628777179986,0.033114884508263775,0.031334181065719245,0.03308082345344162
4,0.21052631578947367,0.04166735365815564,0.04166735365815564,0.0005235949405752829,0.0005256733207096218,0.04063333045101484,0.042674414631530114,0.04066507367169592,0.04268868018483562
5,0.2631578947368421,0.05053641631446682,0.05053641631446682,0.0005961096848884658,0.000589406068994777,0.04936124002503828,0.05169881489013293,0.049386891920083636,0.051690609874932694
6,0.3157894736842105,0.06723616449187347,0.06723616449187347,0.0009214240835743415,0.0009063149687482745,0.0654603238958493,0.06904423960257079,0.06549771409290574,0.06902807661933487
7,0.3684210526315789,0.07215379735336443,0.07215379735336443,0.0009418604205914847,0.0009375480218009473,0.070315229422092,0.07400851708417644,0.07031085552739308,0.0740484097641284
8,0.42105263157894735,0.08687517530894048,0.08687517530894048,0.0012503054519974394,0.0012797635474088669,0.08447261595182412,0.08936284374799906,0.08438974874993482,0.08939677227164257
9,0.47368421052631576,0.09875661218449026,0.09875661218449024,0.001167032507040138,0.0011717173440178186,0.09650484430172829,0.10106567510585829,0.09649342329235792,0.10106969530092888
10,0.5263157894736842,0.10769762460743168,0.10769762460743168,0.0014855456820941399,0.0014912437484565085,0.1047738480689786,0.11057254910144149,0.1048112252464948,0.11063863552749952
11,0.5789473684210527,0.11226265756349477,0.11226265756349477,0.0014953696532515445,0.001483551408586553,0.109391021578131,0.11524520949514974,0.10940782535368128,0.11521871678141679
12,0.631578947368421,0.1333570603227083,0.1333570603227083,0.001610650472120927,0.0016219587714369167,0.13019575451261123,0.1364679628174791,0.13019232426788774,0.13654674476298997
13,0.6842105263157894,0.13029045016815036,0.13029045016815036,0.0017135926354206945,0.0016927911550268955,0.12687928959646122,0.1336305896107197,0.1268839054270912,0.13361903289743016
14,0.7368421052631579,0.14854885910675011,0.1485488591067501,0.0017491112348971356,0.0017230976489247293,0.14512293563950301,0.15203166473493507,0.14508727202135,0.15195775118728608
15,0.7894736842105263,0.15804928712068972,0.15804928712068972,0.0021150799650255423,0.0021280571325723923,0.15402519713271148,0.16232703068705007,0.15390355412017745,0.16227140773405918
16,0.8421052631578947,0.16716860146891435,0.16716860146891435,0.002335528283525245,0.002310751248037188,0.16255269040994222,0.17182603986274156,0.16275032155019797,0.1717712897752339
17,0.894736842105263,0.17673795167996692,0.17673795167996692,0.0022335767648963257,0.0022067839118956973,0.17229789509880378,0.18113000449981115,0.17237814942191046,0.18109608441345917
18,0.9473684210526315,0.1853821832059506,0.1853821832059506,0.0024613361841897856,0.0024596912560152433,0.1806677726146746,0.19021568383169993,0.1806362618725523,0.1903348383241264
19,1.0,0.21397768631862493,0.21397768631862493,0.0033393095014083566,0.0033840976299947577,0.20767466754937694,0.22066543275696926,0.20744082538133726,0.22064149225457066
