,obs_phi,xs_std,ys_std,xs_std_err,ys_std_err,xs_std_ci_lower,xs_std_ci_upper,ys_std_ci_lower,ys_std_ci_upper
0,0.0,0.2730276486993433,0.2730276486993434,0.0038501276651705554,0.003789661364301625,0.26554137472143924,0.28061312951239004,0.2656870861928673,0.2803645962166203
1,1.0,0.2857690491400467,0.28566076898800963,0.0034481002576547005,0.0034621038015641386,0.27899929926478984,0.29253092412807696,0.2789032200963752,0.29245045470411635
2,10.0,0.29354372259278316,0.2826990927674749,0.0039051548306194396,0.00375025819140421,0.285860464137343,0.30116631541626876,0.27537646982116715,0.29013983789429065
3,11.0,0.2895798673406377,0.2766271128332562,0.003641759016930141,0.0034051465746709913,0.2824980793047184,0.29676854935195907,0.2698875133347501,0.28324097842509055
4,12.0,0.28350623152157556,0.2683868643686703,0.0035622349762452327,0.003346273942053152,0.27659357545975305,0.2904222321455479,0.2618534078165658,0.27496857837654365
5,13.0,0.2842118980690281,0.26645432892064336,0.0038162396877248978,0.003575145475960658,0.2768988962596308,0.29175859048532266,0.2595652245500543,0.27351898502478067
6,14.0,0.3003355733724497,0.2787014831772327,0.0043320967476481315,0.004035330631871331,0.2918000840026024,0.30870732464375006,0.2708819579236398,0.2866879793020887
7,15.0,0.2818890203086825,0.25887699418494353,0.003421231554542955,0.0031852545161601344,0.2750736973243559,0.2884655631734665,0.2527303930760712,0.2651977837098891
8,16.0,0.29193786275218464,0.2649036111618207,0.003697273405807496,0.003369629532108837,0.2847214046974626,0.299193886186489,0.2583586306690233,0.27154812296039893
9,17.0,0.2964849714885079,0.26566502772156925,0.004163952511531078,0.0038300681213371984,0.2883684084221532,0.3046704132212405,0.25823755240972657,0.2733019077683356
10,18.0,0.2987484425190636,0.2639029127588053,0.003742827824766773,0.0032544888248518568,0.2913516189383622,0.30607392557346097,0.257537509243205,0.27019104019485674
11,19.0,0.30173312018314963,0.2635278675211834,0.0037754642253242958,0.0033315518297800223,0.29449451851486713,0.30930294355614124,0.25706619719337787,0.27010529420196927
12,2.0,0.2814944194686593,0.2810683423024738,0.0032710049556971023,0.0032881514848712616,0.2751849383513465,0.2878920370630298,0.2746464128473575,0.2876162699443309
13,20.0,0.2902434840691996,0.25014109174989435,0.004580069684938229,0.004078466080509174,0.28167855505240064,0.2994938338821198,0.24262512413732945,0.2584240788422551
14,21.0,0.3105361407264764,0.263288189182259,0.00432293746571397,0.003676652999558021,0.3020123399911652,0.3191022506065312,0.256134204324501,0.2705142889477966
15,22.0,0.2856777636441358,0.239410368118451,0.003538036116443652,0.003061240092559835,0.27869374994432405,0.2926051551157997,0.23342419021890676,0.2454750497276916
16,23.0,0.3024293787136497,0.2486925208946443,0.0043861561432495914,0.003606726659238609,0.2940840199154799,0.3110383861061001,0.24185326276315372,0.2559206638273049
17,24.0,0.30678612756107365,0.24880677118955338,0.003919443104483876,0.0031695386521343144,0.29921188689315154,0.31458376383530606,0.24254242383391816,0.25505860266014674
18,25.0,0.31762350276166323,0.2529235815631629,0.00445892304665973,0.003588665819941128,0.30904421795430953,0.3265101902096907,0.24587289019884354,0.2600388821980714
19,26.0,0.3009565541511297,0.23773061961642467,0.003697507281277995,0.002936494541947126,0.29367601244413094,0.30836471295374146,0.23202938884641777,0.2435123819094114
20,27.0,0.3009352136259759,0.23301684970682607,0.003975408616673937,0.0031446609723930555,0.29314265453127497,0.3087620462732393,0.22701110685284406,0.2393249612441759
21,28.0,0.31647785711923987,0.24165813052520796,0.004276285369018935,0.003249445399040849,0.30822444652131226,0.3248641339072734,0.23536429039452597,0.24802096121122458
22,29.0,0.30100106340961036,0.22684807361830767,0.0037844067749336634,0.0028591855826463654,0.29346828105487593,0.3082455655859174,0.22128642497310633,0.23250150448325585
23,3.0,0.2888466072360231,0.28785568153168317,0.0038260790291457496,0.0037812796245177476,0.28166567428870026,0.29670567602387954,0.2804998856398424,0.2953019860177594
24,30.0,0.31978283172283534,0.23666521100002705,0.004458815616100847,0.0033623853420909995,0.31103825778619765,0.3286800124776216,0.23021270396092913,0.24329813863116595
25,31.0,0.28924780066214056,0.2133995642477282,0.0043576670029588154,0.00344362545757998,0.2805844640178493,0.297886884789198,0.206764578769799,0.2203044610946411
26,32.0,0.3071103120125669,0.21999829051422629,0.004342676281445119,0.003102339905642343,0.29870366742910703,0.31582620673867495,0.21399103060835745,0.22615609125487315
27,33.0,0.3131557542586631,0.22133541533125375,0.004509347244269329,0.0031861464269703024,0.30454050514065945,0.3221105767733865,0.21524664898259468,0.2277742621664091
28,34.0,0.30777052116503584,0.21522932295774377,0.004191047054441086,0.0031548971139509882,0.2995058724039684,0.31596792554731795,0.20914988738057913,0.2215068455497192
29,35.0,0.30159288843957904,0.20976267714512054,0.004023741639950248,0.002969345592571856,0.2938224064382164,0.3094562865840681,0.204108253896979,0.21561148599730495
30,36.0,0.3221833787010502,0.2173228283947952,0.0047293032687051005,0.003228988047288693,0.3130561725484134,0.3316333628690659,0.21094249072673465,0.22368300236742136
31,37.0,0.3241667424387983,0.21447274871886862,0.004359720872261401,0.002835561906222281,0.3154396152868751,0.3326775212840164,0.20899131080391453,0.22000945020042956
32,38.0,0.33220607397976065,0.2196558940848419,0.004446662909801984,0.0028912252447896134,0.3233764746073158,0.34090674768771284,0.21394875072814487,0.22533619345673048
33,39.0,0.3155312213962183,0.20394152980288258,0.0040934698157676285,0.0026071775886867365,0.3074436109712956,0.3236054718863984,0.1988405038807412,0.20901925568034727
34,4.0,0.2691396000992299,0.2675120155140655,0.0031738859655689863,0.0030882202814117676,0.26295371357509084,0.2754509241583193,0.2614085683545235,0.27355935631642403
35,40.0,0.3347802030876442,0.2090167970858823,0.004712301324498215,0.002839572533546767,0.32582100971328404,0.3440921121132879,0.20346670003761888,0.21464247913284382
36,41.0,0.311425274209311,0.1993120017016939,0.004109614166013125,0.0026320770937881184,0.30330264397106266,0.31939120519235953,0.19411148265966366,0.20450673321884036
