,band_lat,xs_std,ys_std,xs_std_err,ys_std_err,xs_std_ci_lower,xs_std_ci_upper,ys_std_ci_lower,ys_std_ci_upper
0,0.0,0.06814247448685054,0.06814247448685054,0.0007963110815032902,0.0008127535450556613,0.06659604130128273,0.06968673420916129,0.0665262865012581,0.0697278391879429
1,10.0,0.14803367276492316,0.14803367276492319,0.0026264554796739978,0.002595322813721402,0.14288138272296377,0.15321905739778735,0.14299220056211873,0.1531250914885932
2,15.0,0.18343894730520974,0.18343894730520974,0.0023782861584698725,0.0023787933746710864,0.1787888968829714,0.18808467432534934,0.17877768807046474,0.18813417141895056
3,20.0,0.23731565415831837,0.23731565415831837,0.002919581147315986,0.0029144274680086304,0.231536818006768,0.24297063384711468,0.2316676468021848,0.24300701415770543
4,25.0,0.2867957645197582,0.2867957645197582,0.0034015030070075197,0.0034283162391061787,0.2802197214939876,0.2934874990863996,0.2800557456578523,0.29352769807976015
5,30.0,0.33058057492192494,0.33058057492192494,0.0039819515090024,0.0039339421021994695,0.3228766560888738,0.3383075990528971,0.32270548556675904,0.33814581372365154
6,35.0,0.34642028885206316,0.34642028885206316,0.004327692608438611,0.004307972254579172,0.33806507279334364,0.35491181928815235,0.3380363252014979,0.3549939284273474
7,40.0,0.399942467926248,0.399942467926248,0.005167458716408313,0.005108379324527261,0.3899895866306283,0.41009282805241637,0.3898101930950458,0.4100243206340473
8,45.0,0.3937083314631319,0.39370833146313183,0.004760493352092554,0.004810142079975701,0.3843283328579647,0.40303242442410697,0.38437659006510017,0.4032291493240268
9,5.0,0.09906207143840431,0.09906207143840431,0.0015021774554834543,0.0015092127403770106,0.09618028102326617,0.10203873383793947,0.09613581797261792,0.10206741793673581
10,50.0,0.4093313171737355,0.4093313171737355,0.005391167701961395,0.005505303193878433,0.3989273025115948,0.4199070107439874,0.39861653336191394,0.420401924573412
11,55.0,0.3972008080283275,0.3972008080283276,0.005331799545753377,0.005298592868490384,0.3868999501890111,0.40774713340221724,0.38694622600221346,0.40767222481615023
12,60.0,0.3672208889463896,0.3672208889463896,0.004783028308034632,0.004756939315195171,0.3578855192913866,0.3767355045980844,0.3579154214671646,0.37646052093587257
13,65.0,0.3450109254146406,0.3450109254146407,0.004607904748434253,0.00466802882831056,0.3359831404756895,0.35405310760696157,0.33576497474583833,0.354278843544755
14,70.0,0.2937317375533572,0.2937317375533572,0.004180497877483108,0.004139805210384154,0.28553073899316594,0.301916232922363,0.28565581461666484,0.3018098650031587
15,75.0,0.23418968172895072,0.23418968172895072,0.00273165906082456,0.0027143356626353954,0.22889234566029318,0.23953125709338358,0.22898077745705492,0.23958110266052868
