,contrast,xs_std,ys_std,xs_std_err,ys_std_err,xs_std_ci_lower,xs_std_ci_upper,ys_std_ci_lower,ys_std_ci_upper
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.05263157894736842,0.012198545379666343,0.007247262236653115,0.00015953758522431846,0.00013039792756253205,0.011886294408672168,0.012515258656987247,0.007005862648941461,0.007515404315944133
2,0.10526315789473684,0.02334615285590751,0.01359631411355818,0.0003125141426077437,0.00016744661244162104,0.022754141685442868,0.02397223782914822,0.013274458995759,0.013931782120779836
3,0.15789473684210525,0.03705548950664796,0.021619186363095982,0.0004993414324623634,0.0002876204985116645,0.03608831904653076,0.038043821615566555,0.021050262049656977,0.022186289102578045
4,0.21052631578947367,0.04784931328455482,0.027010642720482845,0.0007487395771888372,0.000340139578797547,0.04637026065091745,0.04933586946519908,0.0263620777386748,0.027695335019280926
5,0.2631578947368421,0.05986367951656738,0.03334912985332451,0.0008621390740924309,0.00042800603830355345,0.05821021028254989,0.061574261590758454,0.032514783680727556,0.03419287343230026
6,0.3157894736842105,0.06769653129011155,0.04137494826596345,0.0008195592571744805,0.0005823353900683217,0.06610691233230019,0.06932006446254549,0.04024564729057497,0.04251562954545069
7,0.3684210526315789,0.08266061356106522,0.04728932130328677,0.001200035792737838,0.0006096573731949621,0.0803190846538742,0.08507334677406257,0.04611594738578315,0.04850949158270432
8,0.42105263157894735,0.09856816120352553,0.05612747619627685,0.0014053717365523962,0.0007457245957364123,0.09586945575153571,0.10138451104684515,0.05468705594745342,0.05759112681501975
9,0.47368421052631576,0.10585702838072153,0.061597269790979806,0.0014101491063386175,0.0008492963532079114,0.10308671323783747,0.10861968584946945,0.05996822268424243,0.06326814720327348
10,0.5263157894736842,0.1181177779297955,0.06857364573196233,0.0015186317426550112,0.0009428622505880093,0.11508517679398678,0.12107935573063043,0.06674792194790043,0.07047900144302716
11,0.5789473684210527,0.13271057207301926,0.07775936479225741,0.0018585837888314906,0.0009994602940853578,0.12906346643627303,0.1363643860995465,0.07576621277873542,0.07973980528289441
12,0.631578947368421,0.14786901538327613,0.08361069171569895,0.001908374037535655,0.0009925353273880077,0.1440987904520578,0.15160057315083664,0.08168617921659803,0.08557504161203665
13,0.6842105263157894,0.1555053978708665,0.09232615173872172,0.0022430505515176045,0.0012260297530813028,0.15118096706908865,0.15988088871856984,0.08993727579066832,0.0947629190361409
14,0.7368421052631579,0.17958973128277608,0.10154846664784654,0.003351888575145667,0.0015766956930153234,0.17331831417589763,0.1863763836625263,0.09856555510262352,0.10473827298414996
15,0.7894736842105263,0.1823958907875637,0.10584768047695768,0.002324111505256124,0.0013344540505024882,0.17787944239854422,0.18699515915358056,0.10323996440164705,0.1084638858184749
16,0.8421052631578947,0.19030325766787481,0.11299049568699596,0.0024421683292533696,0.0015608365116662206,0.1855306364339952,0.19515207242565621,0.10999826463372628,0.11608059773618824
17,0.894736842105263,0.20401185147154113,0.12464911822406236,0.0023169092385727217,0.0015074579837900043,0.1995347949803064,0.20869720588270613,0.12166934258373024,0.12758591230762048
18,0.9473684210526315,0.21444869294901697,0.12396834868811867,0.003089841030101256,0.0020330500798596877,0.2084493952462547,0.2205603065915408,0.12016445324077885,0.12810642710543682
19,1.0,0.23291803659738913,0.13792715524768712,0.003080139490007978,0.0017083809303946411,0.22689800113448227,0.23904303517002112,0.13457286058092754,0.14119878839976915
