,obs_phi,xs_std,ys_std,xs_std_err,ys_std_err,xs_std_ci_lower,xs_std_ci_upper,ys_std_ci_lower,ys_std_ci_upper
0,0.0,0.15856708508712958,0.09496078020236769,0.0019763851780371087,0.0013774483413482007,0.1546880970517205,0.1625227508205857,0.09234420437628997,0.09771873709689853
1,1.0,0.1613210179436652,0.0934627645465046,0.002217011341342963,0.001249236182032274,0.15715445249525992,0.16576665732745507,0.09103703415594602,0.09596519401549279
2,10.0,0.15672776481558456,0.09796838258737454,0.0019679067167653495,0.001485438937410384,0.15283329936869064,0.16060700379841855,0.09504583940751664,0.10090588016384337
3,11.0,0.15410475907878665,0.09104027281690498,0.002315075584659624,0.0012633950287929542,0.14967921956198219,0.1587882556376965,0.08859675624451126,0.09353512524927945
4,12.0,0.1647890452754292,0.09564619551644248,0.002445961879035737,0.0012884206235888103,0.16013380402013264,0.16971736219084638,0.09316239215243402,0.0982137325357338
5,13.0,0.1598277746321246,0.09504552624398518,0.0023561505911090783,0.0012890141250886313,0.1552360028333347,0.16454952983318605,0.09258622826370384,0.09759157718929662
6,14.0,0.16533054422453516,0.09598951901461752,0.002267500399438856,0.001391842463760162,0.16086629946280037,0.1697331139550806,0.09332395950006238,0.09883681589316243
7,15.0,0.16357654300239252,0.09580235793677737,0.0022678633893640186,0.0013250128072802925,0.1591176096168864,0.1679715758114243,0.09319982768889394,0.0984254864367964
8,16.0,0.16729799943524257,0.09662942357685685,0.0023882865195537432,0.001259329633153906,0.16267104131184304,0.17205703307251788,0.09417469034475166,0.09910887103882364
9,17.0,0.15399929152983274,0.0911622759998817,0.0019333987187585603,0.0011815181178935462,0.15021935241793657,0.15779157484624662,0.08888908818411613,0.09350986386036446
10,18.0,0.1556264753395086,0.09049942298053497,0.002045210576258447,0.0012134464457663754,0.15164835647357952,0.15970644280755858,0.0881635658302099,0.0929295993405824
11,19.0,0.1578582390300876,0.09249837567831277,0.0020840962737452996,0.0012124996515955725,0.15385903446642613,0.1620378370755017,0.09015126652286157,0.09491561880181647
12,2.0,0.15324182338933512,0.08811045221195271,0.0020823807627687266,0.0011763164041856517,0.14919466744736345,0.1574114790112303,0.08588666023140569,0.09041858329684124
13,20.0,0.15865242088469955,0.09184989558801143,0.0020503041991596764,0.0011823699043117285,0.15465064343840695,0.1626128643780792,0.08954516999436421,0.09419257631330734
14,21.0,0.1578247220887161,0.089857413894794,0.0024273653800552662,0.0011986912627264448,0.15320060820188414,0.16268278451224613,0.08754308104841296,0.09222816383582147
15,22.0,0.1576982251893457,0.08974974950090306,0.002253919300755561,0.0012520202709836489,0.15328898164070828,0.16215613176010032,0.0872814814998524,0.09216026715100084
16,23.0,0.1541958709433128,0.09019741486332163,0.001938557412694668,0.0012298023530124432,0.15042538742122868,0.15803256781193087,0.08779920629370988,0.0926779637822725
17,24.0,0.15997424717582118,0.08990424589503256,0.002099983515261766,0.0010914958844230201,0.1558978385029444,0.1641140179081089,0.0878060030269187,0.0920505411557524
18,25.0,0.15706579918399888,0.09364526858499073,0.002127835937486041,0.001427451661077834,0.15284541704554772,0.16119609540961774,0.09096429179182519,0.09643629550809879
19,26.0,0.1513096183104887,0.08736804474232095,0.0018601372674185435,0.0010534826286474634,0.14768588362716387,0.1549540625712288,0.08532995218169413,0.08944714699268677
20,27.0,0.16560552550821314,0.09391912005089091,0.0022982656662384987,0.0012487572836513373,0.16116174116944978,0.1701764893452867,0.09142324705536126,0.09636082580845973
21,28.0,0.15565458146661937,0.09183862816297089,0.0020583490052447947,0.0011317401884180373,0.15162253194880307,0.15978464421447,0.08962928311660795,0.094085736730933
22,29.0,0.15327492508874357,0.08772070060783049,0.0020283102552882616,0.0010923310734200166,0.1493856201218389,0.1572896556467958,0.08558705550501951,0.08985670896263515
23,3.0,0.16671998264623844,0.10243268943588635,0.002456965930052678,0.0022791567434214503,0.16195180681741198,0.17158808459499594,0.09818116500456378,0.10711476548988026
24,30.0,0.16085792577203792,0.09014975837907466,0.0020471310396263025,0.0010713312171008146,0.15684607388935992,0.16484177375527076,0.08804813391256035,0.09223448704016118
25,31.0,0.16611678106385203,0.09699676130897325,0.0023260468159954973,0.0012271354961386955,0.16162398791923538,0.17074045077138814,0.09458664378582421,0.09936927646485497
