,xs_std,ys_std,Rper,Rper_max,xs_std_err,ys_std_err,xs_std_ci,ys_std_ci,Rper_err,Rper_ci,Rper_max_err,Rper_max_ci,obs_phi,spot_ratio,radii_method,latitude_method,num_multi,size_multi
0,0.16536915102518449,0.12402032115455772,1376.9878716251017,14376.92742643304,0.0010982605422011282,0.0007571311486048204,"[0.16325767130461735, 0.16754066701416093]","[0.12254129479030221, 0.1255066890173796]",45.42218743741488,"[1279.6379606661276, 1458.4066752201252]",882.3042695972167,"[11130.28260710336, 14376.92742643304]",[0.0],"[0.6, 1.0]","[['Nagovitsyn', True, 1.0], ['Baumann Group Max', False, 1.0]]",['solar butterfly'],1.0,1.0
1,2.249872798088933,1.7049477239682396,88290.32580765022,165740.49370110032,0.009834417161031315,0.007612067994547259,"[2.2303484058587304, 2.2690759031753682]","[1.6902906673046507, 1.7201264358566235]",1321.1265375647968,"[85522.47284041214, 91328.36529011728]",1759.09435122894,"[160674.955427633, 165740.49370110032]",[0.0],"[0.6, 1.0]","[['Nagovitsyn', True, 1.7320508075688772], ['Baumann Group Max', False, 1.7320508075688772]]",['solar butterfly'],51.0,1.7320508075688772
2,2.282089047712533,1.3820912096009657,75138.35565480342,144957.93481050624,0.010080447076154346,0.006341937569618405,"[2.261915719525233, 2.3016248720586803]","[1.3696664676974908, 1.394557634807602]",1217.7055694403261,"[72970.0429865502, 77663.32527626585]",1242.2458742776573,"[139582.39913943128, 144957.93481050624]",[0.5235987755982988],"[0.6, 1.0]","[['Nagovitsyn', True, 1.7320508075688772], ['Baumann Group Max', False, 1.7320508075688772]]",['solar butterfly'],51.0,1.7320508075688772
3,2.1491379033943376,1.5999037527122655,42514.92185800687,81429.3001437969,0.009691418346689212,0.007272778296140436,"[2.130160089328966, 2.168019087090598]","[1.5855214905769717, 1.6141442695573147]",576.7458209208858,"[41372.59112496006, 43799.127810422164]",1782.0561888775524,"[76829.68197404804, 81429.3001437969]",[1.0471975511965976],"[0.6, 1.0]","[['Nagovitsyn', True, 1.7320508075688772], ['Baumann Group Max', False, 1.7320508075688772]]",['solar butterfly'],51.0,1.7320508075688772
4,1.9020087616988421,1.9020087616988421,0.0,0.0,0.008275555789255548,0.0083911370442976,"[1.8859369088103042, 1.9181784716900487]","[1.8856525075257904, 1.9185805556258488]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",[1.5707963267948966],"[0.6, 1.0]","[['Nagovitsyn', True, 1.7320508075688772], ['Baumann Group Max', False, 1.7320508075688772]]",['solar butterfly'],51.0,1.7320508075688772
5,2.2817950402178138,1.6523045391309277,90271.71710869469,169945.7233413617,0.010234777841148493,0.006757191928852101,"[2.2617968480359147, 2.3016807385681233]","[1.6389549444762124, 1.6656455249671382]",1209.872649876286,"[87613.89628005114, 91881.88471131343]",3917.8996113051044,"[160322.51821747312, 169945.7233413617]",[0.0],"[0.6, 1.0]","[['Nagovitsyn', True, 1.7320508075688772], ['Baumann Group Max', False, 1.7320508075688772]]",['solar butterfly'],52.0,1.7320508075688772
6,2.2287830658058887,1.2809581115054907,76756.22924999997,141631.74318659576,0.010449499032732302,0.005215668644745423,"[2.2085171955047502, 2.2495000854143763]","[1.270819051228423, 1.2910069758992102]",1075.3859869804835,"[74703.35437118332, 78903.22522933879]",1705.3992128963748,"[136994.5261855362, 141631.74318659576]",[0.5235987755982988],"[0.6, 1.0]","[['Nagovitsyn', True, 1.7320508075688772], ['Baumann Group Max', False, 1.7320508075688772]]",['solar butterfly'],52.0,1.7320508075688772
7,2.1399434467736764,1.5778343936507726,43858.07658322577,77256.66810758147,0.008821509990322347,0.006377666791534197,"[2.1227519411556752, 2.1573906150980986]","[1.5654881611716895, 1.5903941649103588]",714.0025684055419,"[42906.23429941082, 45352.59473270288]",254.42801468852656,"[76532.90938675839, 77256.66810758147]",[1.0471975511965976],"[0.6, 1.0]","[['Nagovitsyn', True, 1.7320508075688772], ['Baumann Group Max', False, 1.7320508075688772]]",['solar butterfly'],52.0,1.7320508075688772
8,1.9452735241578791,1.9452735241578791,0.0,0.0,0.008337410972940048,0.00812866460906868,"[1.9290394070865755, 1.9616686951716797]","[1.929564167806278, 1.9614180988862997]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",[1.5707963267948966],"[0.6, 1.0]","[['Nagovitsyn', True, 1.7320508075688772], ['Baumann Group Max', False, 1.7320508075688772]]",['solar butterfly'],52.0,1.7320508075688772
9,2.345387659980399,1.684646835993305,91224.17943602317,168430.30756255717,0.010598141787655618,0.007786201782099141,"[2.3244165511328267, 2.365840615885882]","[1.6693200792657643, 1.7000963354013774]",1345.5404230899142,"[88456.23885655329, 93402.34807019442]",2679.1967152603465,"[162104.1336617075, 168430.30756255717]",[0.0],"[0.6, 1.0]","[['Nagovitsyn', True, 1.7320508075688772], ['Baumann Group Max', False, 1.7320508075688772]]",['solar butterfly'],53.0,1.7320508075688772
